Checking virtualization provider installation
OK: clab installed and working correctly
Stopping clab nodes
provider clab: executing flock -E 42 /tmp/netlab.lock sudo -E containerlab destroy --cleanup -t clab.yml
11:42:39 INFO Removed container name=clab-ml-17-H3-27
11:42:39 INFO Removed container name=clab-ml-17-H6-07
11:42:40 INFO Removed container name=clab-ml-17-H1-38
11:42:40 INFO Removed container name=clab-ml-17-H5-09
11:42:40 INFO Removed container name=clab-ml-17-H4-25
11:42:40 INFO Removed container name=clab-ml-17-L3
11:42:41 INFO Removed container name=clab-ml-17-H3-48
11:42:41 INFO Removed container name=clab-ml-17-H6-02
11:42:41 INFO Removed container name=clab-ml-17-H4-46
11:42:41 INFO Removed container name=clab-ml-17-H3-24
11:42:41 INFO Removed container name=clab-ml-17-H6-24
11:42:42 INFO Removed container name=clab-ml-17-H3-47
11:42:42 INFO Removed container name=clab-ml-17-H4-28
11:42:42 INFO Removed container name=clab-ml-17-H4-36
11:42:42 INFO Removed container name=clab-ml-17-H6-22
11:42:42 INFO Removed container name=clab-ml-17-H1-34
11:42:43 INFO Removed container name=clab-ml-17-H4-07
11:42:43 INFO Removed container name=clab-ml-17-H3-40
11:42:43 INFO Removed container name=clab-ml-17-H2-29
11:42:43 INFO Removed container name=clab-ml-17-H6-29
11:42:43 INFO Removed container name=clab-ml-17-H1-01
11:42:44 INFO Removed container name=clab-ml-17-H4-11
11:42:44 INFO Removed container name=clab-ml-17-H4-30
11:42:44 INFO Removed container name=clab-ml-17-H4-05
11:42:44 INFO Removed container name=clab-ml-17-H3-34
11:42:44 INFO Removed container name=clab-ml-17-H5-30
11:42:44 INFO Removed container name=clab-ml-17-H5-31
11:42:45 INFO Removed container name=clab-ml-17-H3-33
11:42:45 INFO Removed container name=clab-ml-17-H5-50
11:42:45 INFO Removed container name=clab-ml-17-H4-38
11:42:45 INFO Removed container name=clab-ml-17-H2-27
11:42:46 INFO Removed container name=clab-ml-17-H4-50
11:42:46 INFO Removed container name=clab-ml-17-H1-29
